GRID_CODE;JSOW;JRIP
36072;66.67269897;-9999
36073;61.07311249;-9999
36075;62.71440506;-9999
36076;69.32958221;-9999
36077;52.63004684;-9999
37027;61;200.006073
37028;61;200.0504761
37029;61;200.6062469
37030;61;201
37031;61;201
37032;61;201
37033;61;201
37034;61;201
37035;61;201
37036;61;201
37037;61;201
37038;61;201
37039;61;201
37040;61;201
37041;61;200.6261444
37042;61;200.1985931
37043;61;200
37044;61;200
37045;61.04418945;200.2767029
37046;61.01025009;200.4859009
37057;61.1373291;200.2820587
37058;59.56266403;199.9263153
37063;61.14226532;204.7550049
37064;61.42958832;-9999
37065;66.29453278;-9999
37066;67.49835205;-9999
37067;67.6363678;-9999
37068;68.72758484;-9999
37069;73.47182465;-9999
37070;79.3723526;-9999
37071;77.32169342;-9999
37075;79.99373627;-9999
37076;78.75933838;-9999
37077;57.22655487;-9999
37078;60.2679863;-9999
37079;73.51792908;-9999
38028;61;200.0015717
38029;61;200.5739136
38030;61;201
38031;61;201
38032;61;201
38033;61;201
38034;61;201
38035;61;201
38036;61;201
38037;61;201
38038;61;201
38039;61;201
38040;61;200.7186127
38041;61;200.1707306
38042;61;200
38043;61;200
38044;61.07824707;200.1898499
38045;61.31707001;200.7342224
38046;61.30256653;200.9600372
38047;61;200.9689484
38048;61.48928452;201.3365173
38057;62.00618744;202.0611877
38058;61.38785934;202.0753326
38062;60.01048279;202.5397949
38063;59.91889954;203.5394135
38064;60.36099243;204.5561981
38065;60.50533676;205.8571014
38066;60.51731873;-9999
38067;61.40032196;-9999
38068;64.34376526;-9999
38069;65.19766998;-9999
38075;71.13167572;-9999
38076;59.80977249;-9999
38077;52.21131516;-9999
38078;58.45875168;-9999
38079;70.06354523;-9999
38080;78.32157898;-9999
39028;61;200.0732727
39029;61;200.5514221
39030;61;201
39031;61;201
39032;61;201
39033;61;201
39034;61;201
39035;61;201
39036;61;201
39037;61;201
39038;61;201
39039;61;200.8081665
39040;61;200.4110718
39041;61;200.3253937
39042;61;200.718811
39043;61.24024582;200.7311859
39044;61.63798523;200.6747742
39045;61.68504333;201.2784424
39046;61.74574661;201.6886597
39047;61.68501663;201.525589
39048;61.77251816;201.4351044
39057;64.08930206;203.4215546
39058;63.43827438;203.4329834
39061;60.42974854;203.2323761
39062;59.370224;202.857666
39063;59.17652512;203.1765289
39064;59.21595764;203.3916626
39065;58.58577728;204.6981659
39066;57.40280533;204.4048767
39067;59.43198013;206.2009277
39074;61.26261902;-9999
39075;62.25806046;-9999
39076;53.43551636;-9999
39077;52.4249649;-9999
39078;60.15637207;-9999
39079;68.38037872;-9999
39080;76.10416412;-9999
39081;83.12522125;-9999
39082;85.76714325;-9999
40029;61.45314026;200.9645996
40030;61.13905334;201.2696991
40031;61;201
40032;61;201
40033;61;201
40034;61;201
40035;61;201
40036;61;201
40037;61;201
40038;61;201
40039;61;200.9262543
40040;61;200.6651001
40041;61;200.8469086
40042;61.40740967;201.2037048
40043;61.79249573;201.3962402
40044;62.18326569;201.3377533
40045;62.34067154;201.7337036
40046;62.31456375;202.2489624
40047;62.03599167;202.0359955
40048;61.98244476;201.6314392
40057;65.01396942;204.2699738
40058;64.85852051;204.4808655
40060;63.64932251;204.7249298
40060;63.35849762;204.3360596
40061;62.25262451;204.1010437
40062;61.34828568;203.7827606
40063;60.57030869;203.5234375
40064;60.05219269;203.4240723
40065;58.80826187;203.1833954
40066;57.40290833;202.6852722
40072;52.11436081;-9999
40073;50.52628326;-9999
40074;49.60918427;-9999
40075;54.31491852;-9999
40076;50.22643661;-9999
40077;52.00341415;-9999
40078;59.73475266;-9999
40079;66.54380035;-9999
